1991-420,56,,New Haven,420,new-haven,New Haven,1991.08.12,1991,Outdoor,Hard
1991-441,57,,Long Island,441,long-island,Long Island,1991.08.19,1991,Outdoor,Hard
1991-224,58,,Schenectady,224,schenectady,Schenectady,1991.08.19,1991,Outdoor,Hard
1991-560,59,Grand Slam,US Open,560,us-open,New York,1991.08.26,1991,Outdoor,Hard
1991-323,60,,Bordeaux,323,bordeaux,Bordeaux,1991.09.09,1991,Outdoor,Hard
1991-463,61,,Brasilia,463,brasilia,Brasilia,1991.09.09,1991,Outdoor,Carpet
1991-322,62,,Geneva,322,geneva,Geneva,1991.09.09,1991,Outdoor,Clay
1991-328,63,,Basel,328,basel,Basel,1991.09.23,1991,Indoor,Hard
1991-325,64,,Palermo,325,palermo,Palermo,1991.09.23,1991,Outdoor,Clay
1991-326,65,,Brisbane,326,brisbane,Brisbane,1991.09.23,1991,Outdoor,Hard
1991-427,66,,Sydney Indoor,427,sydney,Sydney,1991.09.30,1991,Indoor,Hard
1991-327,67,,Toulouse,327,toulouse,Toulouse,1991.09.30,1991,Indoor,Hard
1991-367,68,,Athens,367,athens,Athens,1991.09.30,1991,Outdoor,Clay
1991-428,69,,Tokyo Indoor,428,tokyo,Tokyo,1991.10.07,1991,Indoor,Carpet
1991-348,70,,Berlin,348,berlin,Berlin,1991.10.07,1991,Indoor,Carpet
1991-330,71,,Tel Aviv,330,tel-aviv,Tel Aviv,1991.10.07,1991,Outdoor,Hard
1991-7309,72,,Lyon,7309,lyon,Lyon,1991.10.14,1991,Indoor,Carpet
1991-337,73,,Vienna,337,vienna,Vienna,1991.10.14,1991,Indoor,Carpet
1991-429,74,Masters 1000,ATP Masters 1000 Stockholm,429,stockholm,Stockholm,1991.10.21,1991,Indoor,Carpet
1991-237,75,,Guaruja-2,237,guaruja,Guaruja,1991.10.21,1991,Outdoor,Hard
1991-352,76,Masters 1000,ATP Masters 1000 Paris,352,paris,Paris,1991.10.28,1991,Indoor,Carpet
1991-215,77,,Buzios,215,buzios,Buzios,1991.10.28,1991,Outdoor,Hard
1991-430,78,,Birmingham,430,birmingham,Birmingham,1991.11.04,1991,Indoor,Carpet
1991-438,79,,Moscow,438,moscow,Moscow,1991.11.04,1991,Indoor,Carpet
1991-240,80,,Sao Paulo,240,sao-paulo,Sao Paulo,1991.11.04,1991,Outdoor,Hard
1991-605,81,ATP Finals,ATP Tour World Championship,605,atp-tour-world-championship,,1991.11.12,1991,Indoor,Carpet
1991-602,82,ATP Finals,ATP Tour World Doubles Championship,602,atp-tour-world-doubles-championship,Johannesburg,1991.11.20,1991,Indoor,Hard
1991-604,83,,Grand Slam Cup,604,munich,"Munich, Germany",1991.12.10,1991,Indoor,Carpet
1992-7308,1,,Adelaide,7308,adelaide,Adelaide,1991.12.30,1992,Outdoor,Hard
1992-354,2,,Wellington,354,wellington,Wellington,1991.12.30,1992,Outdoor,Hard
1992-338,3,,Sydney Outdoor,338,sydney,Sydney,1992.01.06,1992,Outdoor,Hard
1992-301,4,,Auckland,301,auckland,Auckland,1992.01.06,1992,Outdoor,Hard
1992-580,5,Grand Slam,Australian Open,580,australian-open,Melbourne,1992.01.13,1992,Outdoor,Hard
1992-408,6,,Milan,408,milan,Milan,1992.02.03,1992,Indoor,Carpet
1992-424,7,,San Francisco,424,san-francisco,San Francisco,1992.02.03,1992,Indoor,Hard
1992-201,8,,Maceio,201,maceio,Maceio,1992.02.03,1992,Outdoor,Clay
1992-406,9,,Brussels,406,brussels,Brussels,1992.02.10,1992,Indoor,Carpet
1992-402,10,,Memphis,402,memphis,Memphis,1992.02.10,1992,Indoor,Hard
1992-401,11,,Philadelphia,401,philadelphia,Philadelphia,1992.02.17,1992,Indoor,Carpet
1992-357,12,,Stuttgart Indoor,357,stuttgart,Stuttgart,1992.02.17,1992,Indoor,Carpet
1992-407,13,,Rotterdam,407,rotterdam,Rotterdam,1992.02.24,1992,Indoor,Carpet
1992-433,14,,Scottsdale,433,scottsdale,Scottsdale,1992.02.24,1992,Outdoor,Hard
1992-404,15,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,Indian Wells,1992.03.02,1992,Outdoor,Hard
1992-481,16,,Copenhagen,481,copenhagen,Copenhagen,1992.03.02,1992,Indoor,Carpet
1992-403,17,Masters 1000,ATP Masters 1000 Miami,403,miami,Miami,1992.03.13,1992,Outdoor,Hard
1992-360,18,,Casablanca,360,casablanca,Casablanca,1992.03.16,1992,Outdoor,Clay
1992-468,19,,Estoril,468,estoril,Estoril,1992.03.30,1992,Outdoor,Clay
1992-6815,20,,Johannesburg,6815,johannesburg,Johannesburg,1992.03.30,1992,Outdoor,Hard
1992-426,21,,Johannesburg,426,johannesburg,Johannesburg,1992.03.30,1992,Outdoor,Hard
1992-456,22,,Singapore,456,singapore,Singapore,1992.03.30,1992,Outdoor,Hard
1992-329,23,,Tokyo Outdoor,329,tokyo,Tokyo,1992.04.06,1992,Outdoor,Hard
1992-425,24,,Barcelona,425,barcelona,Barcelona,1992.04.06,1992,Outdoor,Clay
1992-336,25,,Hong Kong,336,hong-kong,Hong Kong,1992.04.13,1992,Outdoor,Hard
1992-6120,26,,Nice,6120,nice,Nice,1992.04.13,1992,Outdoor,Clay
1992-346,27,,Tampa,346,tampa,Tampa,1992.04.13,1992,Outdoor,Clay
1992-410,28,Masters 1000,ATP Masters 1000 Monte Carlo,410,monte-carlo,Monte Carlo,1992.04.20,1992,Outdoor,Clay
1992-434,29,,Seoul,434,seoul,Seoul,1992.04.20,1992,Outdoor,Hard
1992-309,30,,Madrid,309,madrid,Madrid,1992.04.27,1992,Outdoor,Clay
1992-308,31,,Munich,308,munich,Munich,1992.04.27,1992,Outdoor,Clay
1992-409,32,,Atlanta,409,atlanta,Atlanta,1992.04.27,1992,Outdoor,Clay
1992-414,33,Masters 1000,ATP Masters 1000 Hamburg,414,hamburg,Hamburg,1992.05.04,1992,Outdoor,Clay
1992-717,34,,Charlotte,717,charlotte,Charlotte,1992.05.04,1992,Outdoor,Clay
1992-416,35,Masters 1000,ATP Masters 1000 Rome,416,rome,Rome,1992.05.11,1992,Outdoor,Clay
1992-615,36,,World Team Cup,615,dusseldorf,Dusseldorf,1992.05.18,1992,Outdoor,Clay
1992-312,37,,Bologna,312,bologna,Bologna,1992.05.18,1992,Outdoor,Clay
1992-520,38,Grand Slam,Roland Garros,520,roland-garros,Paris,1992.05.25,1992,Outdoor,Clay
1992-311,39,,London / Queen's Club,311,london,London,1992.06.08,1992,Outdoor,Grass
1992-310,40,,Florence,310,florence,Florence,1992.06.08,1992,Outdoor,Clay
1992-440,41,,Rosmalen,440,rosmalen,Rosmalen,1992.06.08,1992,Outdoor,Grass
1992-306,42,,Genova,306,genova,Genova,1992.06.15,1992,Outdoor,Clay
1992-7310,43,,Manchester,7310,manchester,Manchester,1992.06.15,1992,Outdoor,Grass
1992-540,44,Grand Slam,Wimbledon,540,wimbledon,London,1992.06.22,1992,Outdoor,Grass
1992-314,45,,Gstaad,314,gstaad,Gstaad,1992.07.06,1992,Outdoor,Clay
1992-316,46,,Bastad,316,bastad,Bastad,1992.07.06,1992,Outdoor,Clay
1992-315,47,,Newport,315,newport,Newport,1992.07.06,1992,Outdoor,Grass
1992-321,48,,Stuttgart Outdoor,321,stuttgart,Stuttgart,1992.07.13,1992,Outdoor,Clay
1992-418,49,,Washington,418,washington,Washington,1992.07.13,1992,Outdoor,Hard
1992-421,50,Masters 1000,ATP Masters 1000 Canada,421,toronto,Toronto,1992.07.20,1992,Outdoor,Hard
1992-319,51,,Kitzbuhel,319,kitzbuhel,Kitzbuhel,1992.07.20,1992,Outdoor,Clay
1992-317,52,,Hilversum,317,hilversum,Hilversum,1992.07.20,1992,Outdoor,Clay
1992-475,53,,San Marino,475,san-marino,San Marino,1992.07.27,1992,Outdoor,Clay
1992-92,54,,Barcelona Olympics,92,barcelona,Barcelona,1992.07.27,1992,Outdoor,Clay
1992-423,55,,Los Angeles,423,los-angeles,Los Angeles,1992.08.03,1992,Outdoor,Hard
1992-422,56,Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,Cincinnati,1992.08.10,1992,Outdoor,Hard
1992-379,57,,Prague,379,prague,Prague,1992.08.10,1992,Outdoor,Clay
1992-419,58,,Indianapolis,419,indianapolis,Indianapolis,1992.08.17,1992,Outdoor,Hard
1992-420,59,,New Haven,420,new-haven,New Haven,1992.08.17,1992,Outdoor,Hard
1992-441,60,,Long Island,441,long-island,Long Island,1992.08.24,1992,Outdoor,Hard
1992-439,61,,Umag,439,umag,Umag,1992.08.24,1992,Outdoor,Clay
1992-224,62,,Schenectady,224,schenectady,Schenectady,1992.08.24,1992,Outdoor,Hard
1992-560,63,Grand Slam,US Open,560,us-open,New York,1992.08.31,1992,Outdoor,Hard
1992-323,64,,Bordeaux,323,bordeaux,Bordeaux,1992.09.14,1992,Outdoor,Clay
1992-7300,65,,Cologne,7300,cologne,Cologne,1992.09.14,1992,Outdoor,Clay
1992-328,66,,Basel,328,basel,Basel,1992.09.28,1992,Indoor,Hard
1992-325,67,,Palermo,325,palermo,Palermo,1992.09.28,1992,Outdoor,Clay
1992-326,68,,Brisbane,326,brisbane,Brisbane,1992.09.28,1992,Outdoor,Hard
1992-427,69,,Sydney Indoor,427,sydney,Sydney,1992.10.05,1992,Indoor,Hard
1992-327,70,,Toulouse,327,toulouse,Toulouse,1992.10.05,1992,Indoor,Hard
1992-367,71,,Athens,367,athens,Athens,1992.10.05,1992,Outdoor,Clay
1992-428,72,,Tokyo Indoor,428,tokyo,Tokyo,1992.10.12,1992,Indoor,Carpet
1992-348,73,,Bolzano,348,bolzano,Bolzano,1992.10.12,1992,Indoor,Carpet
1992-330,74,,Tel Aviv,330,tel-aviv,Tel Aviv,1992.10.12,1992,Outdoor,Hard
1992-7309,75,,Lyon,7309,lyon,Lyon,1992.10.19,1992,Indoor,Carpet
1992-457,76,,Taipei,457,taipei,Taipei,1992.10.19,1992,Indoor,Carpet
1992-337,77,,Vienna,337,vienna,Vienna,1992.10.19,1992,Indoor,Carpet
1992-429,78,Masters 1000,ATP Masters 1000 Stockholm,429,stockholm,Stockholm,1992.10.26,1992,Indoor,Carpet
1992-237,79,,Guaruja,237,guaruja,Guaruja,1992.10.26,1992,Outdoor,Hard
