slug,player_id,height_cm,weight_kg,service_return_games_ratio,service_return_points_ratio,group
h472,oscar-hernandez,180,70,3.4999999999999996,1.6388888888888888,0
s677,david-sanchez,183,76,2.4285714285714284,1.4499999999999997,0
g039,jim-grabb,193,82,4.157894736842105,1.75,0
b503,george-bastl,183,85,3.5999999999999996,1.6216216216216215,0
p701,michal-przysiezny,185,84,5.066666666666667,1.8787878787878787,1
dc58,jared-donaldson,188,75,3.666666666666667,1.75,0
z189,grega-zemlja,183,81,4.0,1.7714285714285716,0
mb53,adrian-menendez-maceiras,183,75,4.733333333333333,1.7878787878787876,1
k737,alex-kuznetsov,183,78,5.2142857142857135,1.8484848484848484,1
g333,paul-goldstein,178,72,2.592592592592592,1.4749999999999999,0
s055,horst-skoff,175,73,2.6296296296296293,1.5128205128205128,0
m915,daniel-munoz-de-la-nava,175,75,3.4999999999999996,1.6388888888888888,0
b804,karol-beck,180,74,3.5999999999999996,1.6216216216216215,0
c634,paul-capdeville,191,78,3.08695652173913,1.5945945945945945,0
su55,denis-shapovalov,185,75,4.611111111111111,1.885714285714286,1
s101,jonas-svensson,188,76,2.6071428571428568,1.4999999999999998,0
ba86,andreas-beck,191,89,4.333333333333334,1.7714285714285716,1
r483,bobby-reynolds,183,77,5.0,1.8484848484848484,1
l226,sebastien-lareau,183,79,3.5714285714285716,1.6486486486486487,0
td51,frances-tiafoe,188,86,4.388888888888889,1.8285714285714287,1
n309,ivan-navarro,183,86,5.333333333333334,1.9393939393939394,1
f580,martin-fischer,180,71,3.0909090909090913,1.6111111111111112,0
l949,henri-laaksonen,185,78,3.3636363636363638,1.6486486486486487,0
cf59,roberto-carballes-baena,183,77,3.0833333333333335,1.6052631578947367,0
k358,kevin-kim,180,75,3.55,1.6666666666666667,0
a199,chuck-adams,185,81,4.157894736842105,1.75,0
s681,cyril-saulnier,191,84,4.647058823529411,1.8285714285714287,1
m578,juan-antonio-marin,175,73,2.5,1.4615384615384615,0
j006,anders-jarryd,180,70,2.8846153846153846,1.5897435897435896,0
g585,maximo-gonzalez,175,75,2.956521739130435,1.4999999999999998,0
w503,james-ward,188,78,5.428571428571428,1.8787878787878787,1
dh58,alex-de-minaur,183,69,3.5217391304347827,1.6842105263157894,0
g621,chris-guccione,201,92,9.555555555555555,2.344827586206897,1
r280,lionel-roux,185,79,3.5238095238095237,1.6666666666666667,0
bk40,matteo-berrettini,196,95,5.0588235294117645,2.0,1
v207,jiri-vanek,185,86,3.380952380952381,1.6388888888888888,0
r750,pere-riba,183,78,3.777777777777778,1.657142857142857,0
e698,gastao-elias,183,76,3.227272727272727,1.6216216216216215,0
h804,andreas-haider-maurer,191,89,4.411764705882352,1.7941176470588234,1
g940,sam-groth,193,100,8.5,2.2333333333333334,1
r782,julian-reister,188,87,3.789473684210526,1.6216216216216215,0
k448,robert-kendrick,191,86,5.571428571428571,1.909090909090909,1
f811,bjorn-fratangelo,183,79,3.6999999999999997,1.7428571428571429,0
sg64,joao-souza,193,92,4.352941176470588,1.7714285714285716,1
z254,jurgen-zopp,191,88,4.8125,1.7941176470588234,1
m035,luiz-mattar,183,76,3.619047619047619,1.6756756756756757,0
kd46,thanasi-kokkinakis,193,84,5.4,1.9393939393939394,1
j084,lars-jonsson,188,70,2.6153846153846154,1.487179487179487,0
g511,simon-greul,185,80,3.8421052631578947,1.7142857142857144,0
k319,michel-kratochvil,185,77,2.92,1.5384615384615383,0
ma41,ivo-minar,183,85,3.6999999999999997,1.7428571428571429,0
p190,guillermo-perez-roldan,178,78,2.1818181818181817,1.4047619047619047,0
j194,joachim-johansson,198,90,6.357142857142857,2.15625,1
be67,mirza-basic,188,88,4.277777777777778,1.8235294117647058,1
n210,daniel-nestor,191,86,4.764705882352941,1.8823529411764706,1
c361,alex-calatrava,191,82,3.619047619047619,1.7222222222222223,0
sk94,cedrik-marcel-stebe,183,70,2.956521739130435,1.526315789473684,0
ta29,marco-trungelliti,178,78,3.043478260869565,1.5526315789473684,0
a006,ronald-agenor,180,82,2.9166666666666665,1.5526315789473684,0
s876,flavio-saretta,183,70,2.535714285714285,1.4390243902439024,0
mj08,thiago-monteiro,183,78,4.333333333333334,1.852941176470588,1
