1970-540,48,Grand Slam,Wimbledon,540,wimbledon,London,1970.06.22,1970,Outdoor,Grass
1970-350,49,,Nottingham,350,nottingham,Great Britain,1970.06.22,1970,Outdoor,Grass
1970-2050,50,,Newport,2050,newport,"Newport, Great Britain",1970.07.05,1970,Outdoor,Grass
1970-316,51,,Bastad,316,bastad,Bastad,1970.07.06,1970,Outdoor,Clay
1970-2029,52,,Dublin,2029,dublin,"Dublin, Ireland",1970.07.06,1970,Outdoor,Grass
1970-418,53,,Washington,418,washington,Washington,1970.07.13,1970,Outdoor,Clay
1970-314,54,,Gstaad,314,gstaad,Gstaad,1970.07.13,1970,Outdoor,Clay
1970-6830,55,,Hoylake,6830,hoylake,"Hoylake, Great Britain",1970.07.13,1970,Outdoor,Grass
1970-6831,56,,Leicester,6831,leicester,"Leicester, Great Britain",1970.07.19,1970,Outdoor,Grass
1970-422,57,,Cincinnati,422,cincinnati,Cincinnati,1970.07.20,1970,Outdoor,Clay
1970-717,58,,Indianapolis,717,indianapolis,Indianapolis,1970.07.27,1970,Outdoor,Clay
1970-663,59,,Louisville,663,louisville,Louisville,1970.07.27,1970,Outdoor,Clay
1970-317,60,,Hilversum,317,hilversum,Hilversum,1970.07.27,1970,Outdoor,Clay
1970-417,61,,Boston,417,boston,Boston,1970.08.03,1970,Outdoor,Hard
1970-308,62,,Munich,308,munich,"Munich, Germany",1970.08.03,1970,Outdoor,Clay
1970-421,63,,Montreal / Toronto,421,toronto,Toronto,1970.08.10,1970,Outdoor,Clay
1970-414,64,,Hamburg,414,hamburg,Hamburg,1970.08.10,1970,Outdoor,Clay
1970-343,65,,Columbus,343,columbus,"Columbus, United States",1970.08.14,1970,Outdoor,Hard
1970-2030,66,,Merion,2030,merion,Merion,1970.08.17,1970,Outdoor,Grass
1970-319,67,,Kitzbuhel,319,kitzbuehel,Kitzbuehel,1970.08.17,1970,Outdoor,Clay
1970-653,68,,Fort Worth WCT,653,fort-worth,"Fort Worth, United States",1970.08.19,1970,Outdoor,Hard
1970-707,69,,South Orange,707,south-orange,South Orange,1970.08.24,1970,Outdoor,Grass
1970-560,70,Grand Slam,US Open,560,us-open,New York,1970.09.02,1970,Outdoor,Grass
1970-423,71,,Los Angeles,423,los-angeles,Los Angeles,1970.09.19,1970,Outdoor,Hard
1970-424,72,,Berkeley,424,berkeley,Berkeley,1970.09.28,1970,Outdoor,Hard
1970-2048,73,,Vancouver WCT,2048,vancouver,"Vancouver, Canada",1970.09.29,1970,Indoor,Carpet
1970-389,74,,Denver,389,denver,"Denver, United States",1970.10.07,1970,Indoor,Hard
1970-6832,75,,Midland WCT,6832,midland,"Midland, United States",1970.10.08,1970,Outdoor,Carpet
1970-2067,76,,Phoenix,2067,phoenix,Phoenix,1970.10.12,1970,Outdoor,Hard
1970-6833,77,,Tucson WCT,6833,tucson,"Tucson, United States",1970.10.15,1970,Outdoor,Hard
