slug,player_id
v306,fernando-verdasco
d499,frank-dancevic
g400,juan-giner
j194,joachim-johansson
v309,kristof-vliegen
l515,peter-luczak
g386,jaymon-crabb
s673,joseph-sirianni
v206,julien-varlet
f337,zack-fleishman
d339,marcos-daniel
g375,hermes-gamonal
m714,edgardo-massa
a391,maximilian-abel
m783,ivan-miranda
k448,robert-kendrick
l430,giovanni-lapentti
p487,eric-prodon
v254,filippo-volandri
c445,frantisek-cermak
k435,philipp-kohlschreiber
r583,todd-reid
b929,alex-bogdanovic
d424,rik-de-voest
m759,wesley-moodie
n291,frederic-niemeyer
b681,paul-baccanello
r364,bjorn-rehnquist
g621,chris-guccione
h472,oscar-hernandez
w367,stan-wawrinka
mb27,florin-mergea
a487,prakash-amritraj
d438,amer-delic
r548,rajeev-ram
t742,janko-tipsarevic
t760,sasa-tuksar
ba47,tomas-berdych
a511,igor-andreev
a356,thierry-ascione
v239,diego-veronelli
a479,nicolas-almagro
t332,tomas-tenconi
i063,tasuku-iwami
p624,philipp-petzschner
h210,fred-hemmes
ma30,gilles-muller
p488,olivier-patience
mb02,florian-mayer
h469,kj-hippensteel
c585,tomas-cakl
ba23,brian-baker
ma21,juan-monaco
h442,jan-hernych
r630,diogo-rocha
r612,stephane-robert
d469,nicolas-devilder
p642,boris-pashanski
v251,santiago-ventura
g483,juan-pablo-guzman
v339,simone-vagnozzi
k551,daniel-koellerer
s843,potito-starace
j164,julien-jeanpierre
h435,jerome-haehnel
f444,alejandro-falla
g476,guillermo-garcia-lopez
c582,marco-chiudinelli
sa93,andreas-seppi
l575,yen-hsun-lu
f436,ian-flanagan
m983,jonathan-marray
w272,wesley-whitehouse
h448,mark-hilton
ba86,andreas-beck
v258,martin-vassallo-arguello
ma41,ivo-minar
s809,yuri-schukin
s963,florent-serra
k540,lukasz-kubot
b837,marcos-baghdatis
t786,jo-wilfried-tsonga
l660,hao-lu
d643,novak-djokovic
b699,matias-boeker
r613,edouard-roger-vasselin
v267,melle-van-gemerden
z096,ben-qiang-zhu
w373,jimmy-wang
k403,igor-kunitsyn
mc65,gael-monfils
r632,michael-ryderstedt
v256,uros-vico
r483,bobby-reynolds
h431,nathan-healey
g681,teymuraz-gabashvili
sc92,peng-sun
w359,todd-widom
sc77,sergiy-stakhovsky
sd32,gilles-simon
n309,ivan-navarro
f303,francisco-fogues
m776,michal-mertinak
d487,lukas-dlouhy
v247,robin-vik
mc10,andy-murray
r616,travis-rettenmaier
d330,alessio-di-mauro
s818,david-sherwood
ba57,ilija-bozoljac
c660,adam-chadaj
j290,scoville-jenkins
r399,andy-ram
c634,paul-capdeville
l523,michael-lammer
m815,toshihide-matsui
w291,yu-jr.-wang
g512,denis-gremelmayr
a340,francesco-aldi
k371,roko-karanusic
e196,rainer-eitzinger
b678,michael-berrer
b757,rohan-bopanna
f344,jean-christophe-faurel
g511,simon-greul
g676,daniel-gimeno-traver
a457,jorge-aguilar
d683,juan-martin-del-potro
m812,gustavo-marcaccio
c977,marin-cilic
k760,evgeny-korolev
w360,brian-wilson
w361,sam-warburg
m836,dominik-meffert
g602,andre-ghem
g531,mohammad-ghareeb
k512,ivo-klec
q927,sam-querrey
b884,carlos-berlocq
b946,benjamin-balleret
s773,slimane-saoudi
t200,mehdi-tahiri
g717,fred-gil
ca12,jeremy-chardy
k436,dieter-kindlmann
mb84,mathieu-montcourt
z168,mischa-zverev
b896,benjamin-becker
b977,richard-bloomfield
a410,thiago-alves
h502,diego-hartfield
j214,diego-junqueira
d776,thiemo-de-bakker
f510,fabio-fognini
h804,andreas-haider-maurer
o252,scott-oudsema
i097,stefano-ianni
s842,andrea-stoppini
k409,phillip-king
sg87,ryan-sweeting
p701,michal-przysiezny
h571,jan-hajek
g527,luka-gregorc
c856,victor-crivoi
l702,mikhail-ledovskikh
a373,james-auckland
n437,gianluca-naso
t840,viktor-troicki
c611,tobias-clemens
k776,konstantin-kravchuk
g858,ernests-gulbis
a503,musaad-al-jazzaf
a656,guillermo-alcaide
ba53,jamie-baker
bc11,sergei-bubka
m915,daniel-munoz-de-la-nava
mc81,jamie-murray
j233,alun-jones
r704,karan-rastogi
e160,konstantinos-economidis
ba98,simone-bolelli
g725,santiago-giraldo
i090,pavel-ivanov
j263,woong-sun-jun
sd56,robert-smeets
r685,lukas-rosol
r628,laurent-recouderc
s944,simon-stadler
sf89,rubin-statham
k737,alex-kuznetsov
sc56,dudi-sela
l797,lukas-lacko
m820,alan-mackin
s990,tobias-summerer
t323,nicolas-tourte
g753,david-guez
g806,andrey-golubev
b752,stephane-bohli
p567,filip-prpic
a303,leonardo-azzaro
c723,flavio-cipolla
e690,matthew-ebden
f375,marc-fornell-mestres
md56,leonardo-mayer
mb49,nicholas-monroe
o234,wayne-odesnik
w387,jesse-witten
l799,jesse-levine
c577,ladislav-chramosta
d551,farrukh-dustov
j365,petar-jelenic
z189,grega-zemlja
h704,jesse-huta-galung
e678,jonathan-eysseric
sd78,alexandre-sidorenko
h756,robin-haase
se66,eduardo-schwank
a596,pablo-andujar
sg56,daniel-dutra-da-silva
f364,mariusz-fyrstenberg
g710,marcel-granollers
d801,alexandr-dolgopolov
h693,ricardo-hocevar
v298,cristian-villagran
mf57,michael-mcclune
m778,david-martin
p470,travis-parrott
w413,chris-wettengel
cb65,darrin-cohen
l391,jaroslav-levinsky
p552,christoph-palmanshofer
t213,jim-thomas
w312,brad-weston
z166,jason-zimmermann
b764,juan-pablo-brzezicki
pc11,guido-pella
d385,benedikt-dorsch
r607,bruno-rosa
m794,jason-marshall
l580,scott-lipsky
p735,lars-poerschke
g695,augustin-gensse
bd06,roberto-bautista-agut
be81,alen-bisevac
e243,david-estruch
r772,albert-ramos-vinolas
r709,bruno-rodriguez
r640,hector-ruiz-cadenas
l503,paolo-lorenzi
k624,bastian-knittel
o207,lamine-ouahab
sb28,carlos-salamanca
u061,adrian-ungur
bc65,matthias-bachinger
bc72,daniel-brands
mf04,marc-meigel
sd69,louk-sorensen
j259,andis-juska
sb34,alexander-satschko
r782,julian-reister
t264,marko-tkalec
z161,marcel-zimmermann
c882,pablo-cuevas
d556,brian-dabul
c546,teodor-dacian-craciun
g585,maximo-gonzalez
k966,martin-klizan
o195,thomas-oger
q019,aisam-ul-haq-qureshi
j230,rameez-junaid
s713,franz-stauder
l384,daniel-lencina-ribes
m935,philipp-marx
s799,pavel-snobel
n390,frederik-nielsen
m919,marcelo-melo
m975,james-may
r646,tom-rushby
w503,james-ward
k667,michel-koning
m844,marcin-matkowski
b547,bart-beks
k364,jordan-kerr
n425,alexander-nonnekes
sj63,thomas-schoorel
g744,josh-goodall
sc40,ken-skupski
e254,brendan-evans
cb14,daniel-cox
e687,daniel-evans
sd01,phillip-simmonds
si57,daniel-smethurst
t965,sean-thornley
sc47,go-soeda
c968,marco-crugnola
ca22,pavol-cervenak
sc73,rogerio-dutra-silva
e673,chris-eaton
l657,gary-lugassy
sc95,bartolome-salva-vidal
d646,ivan-dodig
g917,mathieu-guenat
h789,willem-hornikx
mg54,yann-marti
n511,frederic-nussbaum
t867,erling-tveit
k870,daniel-kumlin
a305,jacob-adaktusson
f593,robin-fahgen
bc71,jonas-berg
b908,johan-brunstrom
e634,mikael-ekman
e639,ervin-eleskovic
f502,pablo-figueroa
mg96,rasmus-moller
pa15,juho-paukku
t957,nathan-thompson
bc68,philip-bester
h624,ryan-haviland
f580,martin-fischer
n552,kei-nishikori
bd59,carsten-ball
r853,nima-roshan
ta21,ryan-thacher
v510,kaes-van't-hof
y100,robert-yim
d632,steve-darcis
mc18,denis-matsukevich
v457,nick-van-der-meer
g608,javier-genaro-martinez
g450,ralph-grambow
w483,boy-westerhof
p529,giancarlo-petrazzuolo
e679,joe-epkey
k891,justin-kronauge
mb99,vahid-mirzadeh
pb59,ryan-preston
sc63,sunil-kumar-sipaeya
t995,jonathan-tragardh
r750,pere-riba
r511,predrag-rusevski
sf76,franko-skugor
f434,alejandro-fabbri
bc62,enrico-burzi
mf09,nikola-mektic
se15,david-savic
sh08,marek-semjan
s772,ladislav-svarc
t310,goran-tosic
i186,john-isner
d616,somdev-devvarman
cc60,piotr-cialkowski
