slug,player_id,height_cm,weight_kg,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
s315,gilbert-schaller,180,70,76,61,49,33,54,55,43,68,58,31,42
kb05,filip-krajinovic,185,75,64,68,51,29,51,60,40,75,62,24,38
e106,jacco-eltingh,188,98,62,73,48,25,47,62,36,80,64,16,34
g354,justin-gimelstob,196,88,58,72,47,28,48,59,38,76,61,19,36
m030,wally-masur,180,76,66,70,53,28,49,61,39,81,64,21,37
w212,chris-woodruff,188,82,60,72,48,29,52,61,38,78,62,24,38
d015,olivier-delaitre,168,88,54,70,49,29,49,58,40,73,60,23,37
mh30,john-millman,183,79,62,68,53,28,50,59,42,77,63,23,37
sf36,igor-sijsling,191,85,59,73,49,27,47,58,39,78,63,18,35
g247,hernan-gumy,188,91,62,67,49,31,52,57,43,73,60,27,40
fb98,taylor-fritz,193,86,59,75,50,25,49,62,35,81,65,18,35
f586,thomas-fabbiano,173,70,65,65,49,27,51,56,37,71,60,21,37
t166,mikael-tillstrom,185,73,59,69,49,29,52,59,40,74,61,24,38
d270,scott-draper,175,76,56,72,51,27,48,61,38,78,63,18,35
da81,taro-daniel,191,80,63,66,49,27,49,60,39,71,59,21,36
r612,stephane-robert,185,77,53,69,47,28,51,56,40,69,58,22,37
o098,marcos-ondruska,183,80,58,66,46,32,51,58,45,70,58,27,40
f724,marton-fucsovics,188,82,56,70,50,31,51,61,39,76,61,26,39
p235,stefano-pescosolido,185,86,52,71,48,29,49,56,40,72,60,23,37
d424,rik-de-voest,180,68,60,68,49,27,47,60,38,74,60,18,35
sg87,ryan-sweeting,196,83,63,67,47,27,51,60,42,71,59,22,36
n732,yoshihito-nishioka,170,64,65,64,54,28,54,59,41,72,60,25,38
pb22,peter-polansky,183,80,58,68,49,26,47,59,36,72,60,17,34
i230,tatsuma-ito,180,75,58,68,49,26,48,54,36,72,60,17,35
v309,kristof-vliegen,193,75,61,69,50,29,48,56,40,75,62,20,36
s080,carl-uwe-steeb,180,75,59,67,51,30,50,58,42,74,60,24,38
sc47,go-soeda,178,73,56,67,48,27,47,54,36,70,59,17,35
s443,sandon-stolle,193,79,58,74,45,29,49,58,39,77,62,22,37
ch27,hyeon-chung,188,89,62,70,50,30,52,58,43,77,63,26,39
d249,hendrik-dreekmann,188,82,50,74,48,27,51,61,38,75,61,22,37
k834,blaz-kavcic,188,78,63,66,46,30,50,55,42,68,58,23,38
m338,shuzo-matsuoka,185,80,61,74,51,27,48,63,39,82,65,19,35
sc73,rogerio-dutra-silva,178,73,61,67,49,29,46,56,36,70,60,19,36
o009,andrei-olhovskiy,185,73,56,75,48,28,49,60,36,78,63,19,36
r219,christian-ruud,185,85,59,65,48,31,53,55,41,68,58,28,40
e687,daniel-evans,175,75,61,70,51,30,50,61,41,77,63,24,38
cf01,marco-cecchinato,185,78,66,68,49,26,47,56,36,75,62,17,34
b040,christian-bergstrom,180,68,65,65,50,32,52,58,44,73,60,29,40
h191,henrik-holm,183,77,51,78,45,31,48,61,39,77,62,22,38
d272,antony-dupuis,185,87,59,72,51,26,47,63,35,79,64,16,34
s693,raemon-sluiter,185,80,59,73,51,27,47,61,38,79,64,18,35
o234,wayne-odesnik,180,77,62,67,50,27,51,60,39,73,60,22,37
bf23,facundo-bagnis,183,82,61,67,49,28,47,58,34,72,60,17,35
b484,lars-burgsmuller,183,73,59,68,48,29,50,57,40,72,60,22,38
b429,jordi-burillo,188,85,53,72,46,31,50,56,43,72,60,25,38
l799,jesse-levine,175,68,60,67,48,28,49,62,41,73,60,20,36
c009,omar-camporese,188,78,51,74,49,30,49,61,43,76,62,22,37
d316,ramon-delgado,183,80,59,68,49,27,49,57,39,74,60,20,36
g717,fred-gil,173,78,64,65,50,30,49,58,41,72,59,22,38
s406,grant-stafford,15,95,60,68,45,31,54,57,42,70,59,28,40
o099,alex-o'brien,185,88,63,69,50,26,50,60,38,76,62,20,36
v250,andreas-vinciguerra,180,73,59,70,50,29,50,64,43,76,61,23,38
i052,andrew-ilie,180,78,54,69,50,28,49,60,36,74,60,21,37
s380,bryan-shelton,185,80,58,75,49,26,49,64,35,81,64,16,35
me31,vincent-millot,173,75,59,66,47,28,49,60,42,69,59,23,37
d228,filip-dewulf,191,80,55,71,47,28,51,60,43,75,61,23,37
r043,derrick-rostagno,185,75,61,71,48,30,51,60,39,77,62,24,38
m708,ricardo-mello,175,73,63,65,51,27,50,57,40,71,60,20,37
h472,oscar-hernandez,180,70,65,64,48,28,49,57,37,70,59,20,36
s677,david-sanchez,183,76,61,65,47,33,52,57,42,68,58,28,40
g039,jim-grabb,193,82,66,72,46,28,48,61,36,79,63,19,36
b503,george-bastl,183,85,65,67,47,27,49,58,35,72,60,20,37
p701,michal-przysiezny,185,84,58,71,48,25,45,61,38,76,62,15,33
dc58,jared-donaldson,188,75,52,74,51,26,49,57,40,77,63,21,36
z189,grega-zemlja,183,81,59,71,49,28,47,62,38,76,62,19,35
